0,0,0
0.72,2.1517,0.023162
1.44,3.9476,0.042493
2.16,5.123,0.055145
2.88,5.5606,0.059856
3.6,5.3378,0.057457
4.32,4.7259,0.050871
5.04,4.1058,0.044196
5.76,3.7116,0.039952
6.48,3.3709,0.036285
7.2,2.7071,0.02914
7.92,1.5996,0.017218
8.64,1.3774,0.014826
9.36,3.245,0.03493
10.08,5.3552,0.057644
10.8,7.0373,0.075751
11.52,7.9465,0.085538
12.24,7.9991,0.086104
12.96,7.4478,0.08017
13.68,6.8613,0.073857
14.4,6.7574,0.072738
15.12,7.0011,0.075361
15.84,6.9981,0.07533
16.56,6.558,0.070592
17.28,6.6237,0.071299
18,8.7073,0.093727
18.72,12.495,0.1345
19.44,16.587,0.17854
20.16,19.822,0.21337
20.88,21.448,0.23087
21.6,21.204,0.22824
22.32,19.403,0.20886
23.04,16.948,0.18243
23.76,15.085,0.16238
24.48,14.583,0.15697
25.2,14.946,0.16088
25.92,15.147,0.16305
26.64,14.772,0.15901
27.36,14.299,0.15392
28.08,14.662,0.15783
28.8,16.232,0.17473
29.52,18.385,0.19791
30.24,20.244,0.21791
30.96,21.29,0.22917
31.68,21.462,0.23102
32.4,21.025,0.22632
33.12,20.392,0.21951
33.84,19.924,0.21447
34.56,19.794,0.21306
35.28,19.987,0.21515
36,20.539,0.22109
36.72,21.89,0.23563
37.44,25.001,0.26911
38.16,30.749,0.33098
38.88,39.164,0.42157
39.6,49.473,0.53254
40.32,60.567,0.65196
41.04,71.302,0.76751
41.76,80.628,0.86789
42.48,87.667,0.94367
43.2,91.82,0.98837
43.92,92.9,1
44.64,91.244,0.98217
45.36,87.684,0.94385
46.08,83.297,0.89663
46.8,78.981,0.85017
47.52,75.145,0.80888
48.24,71.825,0.77314
48.96,69.157,0.74442
49.68,67.718,0.72893
50.4,68.24,0.73455
51.12,70.848,0.76262
51.84,74.625,0.80328
52.56,77.99,0.8395
53.28,79.384,0.85451
54,77.736,0.83677
54.72,72.694,0.7825
55.44,64.845,0.698
56.16,56.021,0.60302
56.88,49.512,0.53296
57.6,48.782,0.5251
58.32,53.969,0.58093
59.04,61.603,0.66311
59.76,68.107,0.73312
60.48,71.288,0.76736
61.2,70.175,0.75538
61.92,64.756,0.69705
62.64,55.837,0.60104
63.36,44.897,0.48328
64.08,33.826,0.36411
64.8,24.545,0.26421
65.52,18.499,0.19913
66.24,16.015,0.17239
66.96,16.254,0.17496
67.68,18.302,0.19701
68.4,21.465,0.23105
69.12,24.811,0.26707
69.84,27.119,0.29191
70.56,27.073,0.29141
71.28,23.52,0.25318
72,15.863,0.17075
72.72,4.5087,0.048532
73.44,9.0004,0.096883
74.16,21.91,0.23585
74.88,31.354,0.3375
75.6,35.121,0.37805
76.32,32.584,0.35074
77.04,25.081,0.26997
77.76,16.094,0.17324
78.48,12.353,0.13297
79.2,16.442,0.17698
79.92,20.859,0.22453
80.64,22.334,0.24041
81.36,20.699,0.22281
82.08,16.904,0.18196
82.8,12.379,0.13325
83.52,8.5522,0.092058
84.24,6.2589,0.067372
84.96,5.2428,0.056435
85.68,4.7052,0.050647
86.4,4.2867,0.046143
87.12,4.7982,0.051648
87.84,7.4976,0.080706
88.56,11.442,0.12317
89.28,14.801,0.15932
90,16.109,0.1734
90.72,14.801,0.15932
91.44,11.442,0.12317
92.16,7.4976,0.080706
92.88,4.7982,0.051648
93.6,4.2867,0.046143
94.32,4.7052,0.050647
95.04,5.2428,0.056435
95.76,6.2589,0.067372
96.48,8.5522,0.092058
97.2,12.379,0.13325
97.92,16.904,0.18196
98.64,20.699,0.22281
99.36,22.334,0.24041
100.08,20.859,0.22453
100.8,16.442,0.17698
101.52,12.353,0.13297
102.24,16.094,0.17324
102.96,25.081,0.26997
103.68,32.584,0.35074
104.4,35.121,0.37805
105.12,31.354,0.3375
105.84,21.91,0.23585
106.56,9.0004,0.096883
107.28,4.5087,0.048532
108,15.863,0.17075
108.72,23.52,0.25318
109.44,27.073,0.29141
110.16,27.119,0.29191
110.88,24.811,0.26707
111.6,21.465,0.23105
112.32,18.302,0.19701
113.04,16.254,0.17496
113.76,16.015,0.17239
114.48,18.499,0.19913
115.2,24.545,0.26421
115.92,33.826,0.36411
116.64,44.897,0.48328
117.36,55.837,0.60104
118.08,64.756,0.69705
118.8,70.175,0.75538
119.52,71.288,0.76736
120.24,68.107,0.73312
120.96,61.603,0.66311
121.68,53.969,0.58093
122.4,48.782,0.5251
123.12,49.512,0.53296
123.84,56.021,0.60302
124.56,64.845,0.698
125.28,72.694,0.7825
126,77.736,0.83677
126.72,79.384,0.85451
127.44,77.99,0.8395
128.16,74.625,0.80328
128.88,70.848,0.76262
129.6,68.24,0.73455
130.32,67.718,0.72893
131.04,69.157,0.74442
131.76,71.825,0.77314
132.48,75.145,0.80888
133.2,78.981,0.85017
133.92,83.297,0.89663
134.64,87.684,0.94385
135.36,91.244,0.98217
136.08,92.9,1
136.8,91.82,0.98837
137.52,87.667,0.94367
138.24,80.628,0.86789
138.96,71.302,0.76751
139.68,60.567,0.65196
140.4,49.473,0.53254
141.12,39.164,0.42157
141.84,30.749,0.33098
142.56,25.001,0.26911
143.28,21.89,0.23563
144,20.539,0.22109
144.72,19.987,0.21515
145.44,19.794,0.21306
146.16,19.924,0.21447
146.88,20.392,0.21951
147.6,21.025,0.22632
148.32,21.462,0.23102
149.04,21.29,0.22917
149.76,20.244,0.21791
150.48,18.385,0.19791
151.2,16.232,0.17473
151.92,14.662,0.15783
152.64,14.299,0.15392
153.36,14.772,0.15901
