85.68,2.1816,0.123659449,17.642,,,,,
86.4,1.8289,0.103667385,17.642,,,,,
87.12,1.4825,0.084032423,17.642,,,,,
87.84,1.1468,0.065003968,17.642,,,,,
88.56,0.82996,0.047044553,17.642,,,,,
89.28,0.55299,0.031345086,17.642,,,,,
90,0.38467,0.021804217,17.642,,,,,
90.72,0.43941,0.02490704,17.642,,,,,
91.44,0.6444,0.036526471,17.642,,,,,
92.16,0.88649,0.050248838,17.642,,,,,
92.88,1.1289,0.063989344,17.642,,,,,
93.6,1.36,0.077088765,17.642,,,,,
94.32,1.575,0.089275592,17.642,,,,,
95.04,1.7713,0.100402449,17.642,,,,,
95.76,1.9474,0.11038431,17.642,,,,,
96.48,2.1027,0.119187167,17.642,,,,,
97.2,2.237,0.126799683,17.642,,,,,
97.92,2.3504,0.133227525,17.642,,,,,
98.64,2.444,0.138533046,17.642,,,,,
99.36,2.5189,0.142778597,17.642,,,,,
100.08,2.5772,0.146083211,17.642,,,,,
100.8,2.6214,0.148588595,17.642,,,,,
101.52,2.6546,0.150470468,17.642,,,,,
102.24,2.6807,0.151949892,17.642,,,,,
102.96,2.7041,0.153276273,17.642,,,,,
103.68,2.7295,0.154716019,17.642,,,,,
104.4,2.7619,0.156552545,17.642,,,,,
105.12,2.8059,0.159046593,17.642,,,,,
105.84,2.8657,0.162436232,17.642,,,,,
106.56,2.9442,0.166885841,17.642,,,,,
107.28,3.0431,0.172491781,17.642,,,,,
108,3.1624,0.179254053,17.642,,,,,
108.72,3.3007,0.1870933,17.642,,,,,
109.44,3.4552,0.195850811,17.642,,,,,
110.16,3.622,0.205305521,17.642,,,,,
110.88,3.7966,0.215202358,17.642,,,,,
111.6,3.9742,0.225269244,17.642,,,,,
112.32,4.1495,0.235205759,17.642,,,,,
113.04,4.3177,0.244739825,17.642,,,,,
113.76,4.4737,0.25358236,17.642,,,,,
114.48,4.613,0.26147829,17.642,,,,,
115.2,4.7313,0.268183879,17.642,,,,,
115.92,4.8248,0.273483732,17.642,,,,,
116.64,4.8898,0.277168122,17.642,,,,,
117.36,4.9236,0.279084004,17.642,,,,,
118.08,4.9234,0.279072667,17.642,,,,,
118.8,4.8872,0.277020746,17.642,,,,,
119.52,4.8136,0.272848883,17.642,,,,,
120.24,4.7016,0.266500397,17.642,,,,,
120.96,4.5506,0.257941276,17.642,,,,,
121.68,4.3609,0.247188527,17.642,,,,,
122.4,4.133,0.234270491,17.642,,,,,
123.12,3.8684,0.219272191,17.642,,,,,
123.84,3.569,0.202301326,17.642,,,,,
124.56,3.2377,0.183522276,17.642,,,,,
125.28,2.8784,0.163156105,17.642,,,,,
126,2.4965,0.141508899,17.642,,,,,
126.72,2.1002,0.11904546,17.642,,,,,
127.44,1.7035,0.096559347,17.642,,,,,
128.16,1.3332,0.075569663,17.642,,,,,
128.88,1.0483,0.059420701,17.642,,,,,
129.6,0.95517,0.054141821,17.642,,,,,
130.32,1.1168,0.06330348,17.642,,,,,
131.04,1.4539,0.082411291,17.642,,,,,
131.76,1.8715,0.106082077,17.642,,,,,
132.48,2.3203,0.131521369,17.642,,,,,
133.2,2.7763,0.157368779,17.642,,,,,
133.92,3.2259,0.182853418,17.642,,,,,
